0 0 | 7 5 4 1 6 3 2 0 
2 1 | 7 5 4 1 6 3 0 2 
4 2 | 7 5 0 1 6 3 4 2 
1 3 | 7 5 1 0 6 3 4 2 
7 5 | 0 5 1 7 6 3 4 2 
2 8 | 2 5 1 7 6 3 4 0 
6 10 | 2 5 1 7 0 3 4 6 
3 11 | 2 5 1 7 3 0 4 6 
4 12 | 2 5 1 7 3 4 0 6 
6 13 | 2 5 1 7 3 4 6 0 
7 14 | 2 5 1 0 3 4 6 7 
1 15 | 2 5 0 1 3 4 6 7 
6 16 | 2 5 6 1 3 4 0 7 
4 17 | 2 5 6 1 3 0 4 7 
5 18 | 2 0 6 1 3 5 4 7 
6 19 | 2 6 0 1 3 5 4 7 
4 20 | 2 6 4 1 3 5 0 7 
5 21 | 2 6 4 1 3 0 5 7 
3 22 | 2 6 4 1 0 3 5 7 
1 25 | 2 6 4 0 1 3 5 7 
4 26 | 2 6 0 4 1 3 5 7 
6 27 | 2 0 6 4 1 3 5 7 
3 28 | 2 3 6 4 1 0 5 7 
5 29 | 2 3 6 4 1 5 0 7 
7 30 | 2 3 6 4 1 5 7 0 
30 0.47572827339172363
