0 0 | 1 3 5 7 2 4 6 0 
7 1 | 1 3 5 0 2 4 6 7 
1 3 | 0 3 5 1 2 4 6 7 
3 4 | 3 0 5 1 2 4 6 7 
5 5 | 3 5 0 1 2 4 6 7 
1 6 | 3 5 1 0 2 4 6 7 
2 9 | 3 5 1 2 0 4 6 7 
4 10 | 3 5 1 2 4 0 6 7 
5 11 | 3 0 1 2 4 5 6 7 
1 12 | 3 1 0 2 4 5 6 7 
2 13 | 3 1 2 0 4 5 6 7 
7 14 | 3 1 2 7 4 5 6 0 
6 15 | 3 1 2 7 4 5 0 6 
5 16 | 3 1 2 7 4 0 5 6 
1 17 | 3 0 2 7 4 1 5 6 
3 18 | 0 3 2 7 4 1 5 6 
6 21 | 6 3 2 7 4 1 5 0 
5 22 | 6 3 2 7 4 1 0 5 
1 23 | 6 3 2 7 4 0 1 5 
3 24 | 6 0 2 7 4 3 1 5 
2 25 | 6 2 0 7 4 3 1 5 
7 26 | 6 2 7 0 4 3 1 5 
26 2.7704286575317383
