8 0 8 | 7 3 6 5 1 4 2 0 
10 0 10 | 7 3 6 0 1 4 2 5 
8 0 8 | 7 3 6 5 1 4 2 0 
8 0 8 | 7 3 6 5 1 4 2 0 
10 0 10 | 7 3 6 5 1 4 0 2 
8 0 8 | 7 3 6 5 1 4 2 0 
10 0 10 | 7 3 0 5 1 4 6 2 
8 0 8 | 7 3 5 0 1 4 6 2 
8 0 8 | 7 3 5 2 1 4 6 0 
8 0 8 | 7 3 5 2 1 4 6 0 
8 0 8 | 0 3 5 7 1 4 6 2 
2 0 2 | 2 3 5 7 1 4 6 0 
4 0 4 | 2 3 5 0 1 4 6 7 
2 0 2 | 2 3 5 7 1 4 6 0 
2 0 2 | 2 3 5 7 1 4 6 0 
4 0 4 | 2 3 5 7 1 4 0 6 
2 0 2 | 2 3 5 7 1 4 6 0 
4 0 4 | 2 3 5 0 1 4 6 7 
6 0 6 | 1 3 5 7 0 4 6 2 
0 0 0 | 1 3 5 7 2 4 6 0 
