0 0 | 5 3 7 2 6 4 1 0 
6 2 | 5 3 7 2 0 4 1 6 
5 3 | 0 3 7 2 5 4 1 6 
2 5 | 2 3 7 0 5 4 1 6 
6 6 | 2 3 7 6 5 4 1 0 
5 8 | 2 3 7 6 0 4 1 5 
4 9 | 2 3 7 6 4 0 1 5 
1 10 | 2 3 7 6 4 1 0 5 
5 11 | 2 3 7 6 4 1 5 0 
6 12 | 2 3 7 0 4 1 5 6 
2 14 | 0 3 7 2 4 1 5 6 
3 15 | 3 0 7 2 4 1 5 6 
7 16 | 3 7 0 2 4 1 5 6 
2 17 | 3 7 2 0 4 1 5 6 
6 18 | 3 7 2 6 4 1 5 0 
4 20 | 3 7 2 6 0 1 5 4 
1 21 | 3 7 2 6 1 0 5 4 
7 22 | 3 0 2 6 1 7 5 4 
3 23 | 0 3 2 6 1 7 5 4 
1 24 | 1 3 2 6 0 7 5 4 
7 25 | 1 3 2 6 7 0 5 4 
5 26 | 1 3 2 6 7 5 0 4 
2 27 | 1 3 0 6 7 5 2 4 
6 28 | 1 3 6 0 7 5 2 4 
4 29 | 1 3 6 4 7 5 2 0 
2 30 | 1 3 6 4 7 5 0 2 
6 31 | 1 3 0 4 7 5 6 2 
3 32 | 1 0 3 4 7 5 6 2 
1 33 | 0 1 3 4 7 5 6 2 
7 34 | 7 1 3 4 0 5 6 2 
2 36 | 7 1 3 4 2 5 6 0 
36 0.7675755023956299
