0 0 | 5 2 0 4 7 1 3 6 
4 1 | 5 2 4 0 7 1 3 6 
5 3 | 0 2 4 5 7 1 3 6 
6 6 | 6 2 4 5 7 1 3 0 
5 7 | 6 2 4 0 7 1 3 5 
7 10 | 6 2 4 7 0 1 3 5 
1 11 | 6 2 4 7 1 0 3 5 
2 12 | 6 0 4 7 1 2 3 5 
6 13 | 0 6 4 7 1 2 3 5 
1 14 | 1 6 4 7 0 2 3 5 
2 15 | 1 6 4 7 2 0 3 5 
3 16 | 1 6 4 7 2 3 0 5 
5 17 | 1 6 4 7 2 3 5 0 
7 18 | 1 6 4 0 2 3 5 7 
2 21 | 1 6 4 2 0 3 5 7 
3 22 | 1 6 4 2 3 0 5 7 
6 23 | 1 0 4 2 3 6 5 7 
4 24 | 1 4 0 2 3 6 5 7 
2 25 | 1 4 2 0 3 6 5 7 
7 26 | 1 4 2 7 3 6 5 0 
5 27 | 1 4 2 7 3 6 0 5 
2 28 | 1 4 0 7 3 6 2 5 
4 29 | 1 0 4 7 3 6 2 5 
6 30 | 1 6 4 7 3 0 2 5 
2 31 | 1 6 4 7 3 2 0 5 
5 32 | 1 6 4 7 3 2 5 0 
32 0.8175382614135742
