0 0 | 6 2 5 7 3 0 4 1 
4 1 | 6 2 5 7 3 4 0 1 
5 2 | 6 2 0 7 3 4 5 1 
2 3 | 6 0 2 7 3 4 5 1 
6 4 | 0 6 2 7 3 4 5 1 
1 7 | 1 6 2 7 3 4 5 0 
7 8 | 1 6 2 0 3 4 5 7 
1 10 | 0 6 2 1 3 4 5 7 
6 11 | 6 0 2 1 3 4 5 7 
4 12 | 6 4 2 1 3 0 5 7 
3 13 | 6 4 2 1 0 3 5 7 
6 14 | 0 4 2 1 6 3 5 7 
4 15 | 4 0 2 1 6 3 5 7 
2 16 | 4 2 0 1 6 3 5 7 
5 17 | 4 2 5 1 6 3 0 7 
7 18 | 4 2 5 1 6 3 7 0 
1 19 | 4 2 5 0 6 3 7 1 
5 20 | 4 2 0 5 6 3 7 1 
7 21 | 4 2 7 5 6 3 0 1 
3 22 | 4 2 7 5 6 0 3 1 
6 23 | 4 2 7 5 0 6 3 1 
4 24 | 0 2 7 5 4 6 3 1 
5 26 | 5 2 7 0 4 6 3 1 
26 0.4187610149383545
