0 0 | 7 2 6 4 3 0 1 5 
3 1 | 7 2 6 4 0 3 1 5 
5 3 | 7 2 6 4 5 3 1 0 
1 4 | 7 2 6 4 5 3 0 1 
6 5 | 7 2 0 4 5 3 6 1 
2 6 | 7 0 2 4 5 3 6 1 
3 7 | 7 3 2 4 5 0 6 1 
6 8 | 7 3 2 4 5 6 0 1 
1 9 | 7 3 2 4 5 6 1 0 
7 12 | 0 3 2 4 5 6 1 7 
3 13 | 3 0 2 4 5 6 1 7 
2 14 | 3 2 0 4 5 6 1 7 
4 15 | 3 2 4 0 5 6 1 7 
7 16 | 3 2 4 7 5 6 1 0 
1 17 | 3 2 4 7 5 6 0 1 
4 18 | 3 2 0 7 5 6 4 1 
7 19 | 3 2 7 0 5 6 4 1 
3 21 | 0 2 7 3 5 6 4 1 
1 24 | 1 2 7 3 5 6 4 0 
4 25 | 1 2 7 3 5 6 0 4 
7 26 | 1 2 0 3 5 6 7 4 
3 27 | 1 2 3 0 5 6 7 4 
4 28 | 1 2 3 4 5 6 7 0 
28 0.9051182270050049
