0 0 | 1 3 5 7 2 4 6 0 
7 1 | 1 3 5 0 2 4 6 7 
5 2 | 1 3 0 5 2 4 6 7 
6 3 | 1 3 6 5 2 4 0 7 
4 4 | 1 3 6 5 2 0 4 7 
3 5 | 1 0 6 5 2 3 4 7 
6 6 | 1 6 0 5 2 3 4 7 
4 7 | 1 6 4 5 2 3 0 7 
7 8 | 1 6 4 5 2 3 7 0 
2 10 | 1 6 4 5 0 3 7 2 
1 11 | 0 6 4 5 1 3 7 2 
6 12 | 6 0 4 5 1 3 7 2 
3 13 | 6 3 4 5 1 0 7 2 
7 14 | 6 3 4 5 1 7 0 2 
2 15 | 6 3 4 5 1 7 2 0 
5 16 | 6 3 4 0 1 7 2 5 
4 17 | 6 3 0 4 1 7 2 5 
3 18 | 6 0 3 4 1 7 2 5 
7 19 | 6 7 3 4 1 0 2 5 
1 20 | 6 7 3 4 0 1 2 5 
4 23 | 6 7 3 0 4 1 2 5 
3 24 | 6 7 0 3 4 1 2 5 
7 25 | 6 0 7 3 4 1 2 5 
1 26 | 6 1 7 3 4 0 2 5 
2 27 | 6 1 7 3 4 2 0 5 
5 28 | 6 1 7 3 4 2 5 0 
28 1.9668753147125244
