0 0 | 2 4 5 1 7 6 3 0 
1 1 | 2 4 5 0 7 6 3 1 
2 3 | 0 4 5 2 7 6 3 1 
4 4 | 4 0 5 2 7 6 3 1 
5 5 | 4 5 0 2 7 6 3 1 
2 6 | 4 5 2 0 7 6 3 1 
1 7 | 4 5 2 1 7 6 3 0 
3 8 | 4 5 2 1 7 6 0 3 
6 9 | 4 5 2 1 7 0 6 3 
5 10 | 4 0 2 1 7 5 6 3 
2 11 | 4 2 0 1 7 5 6 3 
6 12 | 4 2 6 1 7 5 0 3 
3 13 | 4 2 6 1 7 5 3 0 
1 14 | 4 2 6 0 7 5 3 1 
6 15 | 4 2 0 6 7 5 3 1 
2 16 | 4 0 2 6 7 5 3 1 
5 17 | 4 5 2 6 7 0 3 1 
3 18 | 4 5 2 6 7 3 0 1 
1 19 | 4 5 2 6 7 3 1 0 
6 20 | 4 5 2 0 7 3 1 6 
4 22 | 0 5 2 4 7 3 1 6 
7 23 | 7 5 2 4 0 3 1 6 
4 26 | 7 5 2 0 4 3 1 6 
26 0.25984978675842285
