0 0 | 6 1 3 4 2 0 7 5 
7 1 | 6 1 3 4 2 7 0 5 
5 2 | 6 1 3 4 2 7 5 0 
4 3 | 6 1 3 0 2 7 5 4 
3 4 | 6 1 0 3 2 7 5 4 
5 5 | 6 1 5 3 2 7 0 4 
4 6 | 6 1 5 3 2 7 4 0 
3 7 | 6 1 5 0 2 7 4 3 
2 10 | 6 1 5 2 0 7 4 3 
6 11 | 0 1 5 2 6 7 4 3 
1 12 | 1 0 5 2 6 7 4 3 
5 13 | 1 5 0 2 6 7 4 3 
2 14 | 1 5 2 0 6 7 4 3 
3 15 | 1 5 2 3 6 7 4 0 
1 18 | 0 5 2 3 6 7 4 1 
5 19 | 5 0 2 3 6 7 4 1 
7 20 | 5 7 2 3 6 0 4 1 
4 21 | 5 7 2 3 6 4 0 1 
1 22 | 5 7 2 3 6 4 1 0 
3 23 | 5 7 2 0 6 4 1 3 
2 24 | 5 7 0 2 6 4 1 3 
1 25 | 5 7 1 2 6 4 0 3 
4 26 | 5 7 1 2 6 0 4 3 
7 27 | 5 0 1 2 6 7 4 3 
1 28 | 5 1 0 2 6 7 4 3 
2 29 | 5 1 2 0 6 7 4 3 
3 30 | 5 1 2 3 6 7 4 0 
30 1.1004908084869385
