0 0 | 7 6 4 5 3 2 1 0 
5 1 | 7 6 4 0 3 2 1 5 
4 2 | 7 6 0 4 3 2 1 5 
6 3 | 7 0 6 4 3 2 1 5 
2 4 | 7 2 6 4 3 0 1 5 
3 5 | 7 2 6 4 0 3 1 5 
5 7 | 7 2 6 4 5 3 1 0 
1 8 | 7 2 6 4 5 3 0 1 
3 9 | 7 2 6 4 5 0 3 1 
2 10 | 7 0 6 4 5 2 3 1 
6 11 | 7 6 0 4 5 2 3 1 
3 12 | 7 6 3 4 5 2 0 1 
1 13 | 7 6 3 4 5 2 1 0 
7 16 | 0 6 3 4 5 2 1 7 
6 17 | 6 0 3 4 5 2 1 7 
2 18 | 6 2 3 4 5 0 1 7 
5 19 | 6 2 3 4 0 5 1 7 
7 21 | 6 2 3 4 7 5 1 0 
1 22 | 6 2 3 4 7 5 0 1 
5 23 | 6 2 3 4 7 0 5 1 
7 24 | 6 2 3 4 0 7 5 1 
6 25 | 0 2 3 4 6 7 5 1 
1 28 | 1 2 3 4 6 7 5 0 
5 29 | 1 2 3 4 6 7 0 5 
7 30 | 1 2 3 4 6 0 7 5 
6 31 | 1 2 3 4 0 6 7 5 
5 33 | 1 2 3 4 5 6 7 0 
33 1.175872564315796
