16 0 16 | 7 6 0 3 4 1 5 2 
15 1 14 | 7 6 5 3 4 1 0 2 
14 2 12 | 7 6 5 3 4 1 2 0 
15 1 14 | 7 6 3 0 4 1 5 2 
16 2 14 | 7 6 5 3 4 1 0 2 
16 2 14 | 7 6 3 2 4 1 5 0 
17 1 16 | 7 0 6 3 4 1 5 2 
16 2 14 | 7 1 6 3 4 0 5 2 
17 3 14 | 0 6 3 7 4 1 5 2 
14 6 8 | 2 6 3 7 4 1 5 0 
17 3 14 | 7 6 3 0 4 1 5 2 
17 3 14 | 7 1 6 3 4 5 0 2 
16 4 12 | 7 1 6 3 4 5 2 0 
17 3 14 | 7 6 5 0 4 1 2 3 
16 4 12 | 7 6 5 3 4 1 2 0 
17 3 14 | 7 1 6 3 0 4 5 2 
13 5 8 | 7 1 6 3 2 4 5 0 
16 6 10 | 7 1 6 0 2 4 5 3 
15 7 8 | 7 1 6 3 2 4 5 0 
16 6 10 | 7 1 6 3 2 4 0 5 
15 7 8 | 7 1 6 3 2 4 5 0 
16 8 8 | 7 1 6 3 2 4 5 0 
17 3 14 | 7 6 3 2 4 1 5 0 
17 3 14 | 7 1 6 3 4 0 5 2 
17 3 14 | 7 6 5 3 4 1 0 2 
17 5 12 | 7 6 5 3 4 1 2 0 
17 7 10 | 2 6 3 7 4 1 0 5 
16 8 8 | 2 6 3 7 4 1 5 0 
17 7 10 | 2 6 3 0 4 1 5 7 
16 8 8 | 2 6 3 7 4 1 5 0 
17 7 10 | 7 1 0 3 2 4 6 5 
16 8 8 | 7 1 3 0 2 4 6 5 
15 9 6 | 7 1 3 5 2 4 6 0 
16 10 6 | 7 1 3 5 2 4 6 0 
17 7 10 | 7 1 6 0 2 4 5 3 
17 9 8 | 2 6 3 7 4 1 5 0 
18 2 16 | 7 6 0 3 4 1 5 2 
18 2 16 | 7 6 0 3 4 1 5 2 
18 2 16 | 7 6 5 3 4 0 1 2 
17 3 14 | 7 6 5 3 4 1 0 2 
18 2 16 | 0 7 6 3 4 1 5 2 
15 5 10 | 2 7 6 3 4 1 5 0 
16 4 12 | 3 7 6 0 4 1 5 2 
17 5 12 | 3 7 6 2 4 1 5 0 
18 2 16 | 7 6 0 3 4 1 5 2 
18 4 14 | 7 1 0 3 4 5 6 2 
17 5 12 | 7 1 3 0 4 5 6 2 
18 4 14 | 6 0 3 7 4 1 5 2 
17 5 12 | 6 1 3 7 4 0 5 2 
17 5 12 | 6 3 0 7 4 1 5 2 
16 6 10 | 6 3 5 7 4 1 0 2 
15 7 8 | 6 3 5 7 4 1 2 0 
17 7 10 | 6 3 5 7 4 1 0 2 
18 4 14 | 4 6 3 7 0 1 5 2 
14 6 8 | 4 6 3 7 2 1 5 0 
17 5 12 | 4 6 3 7 1 0 5 2 
17 7 10 | 4 6 3 0 2 1 5 7 
16 8 8 | 4 6 3 7 2 1 5 0 
17 7 10 | 4 6 3 7 2 1 0 5 
16 8 8 | 4 6 3 7 2 1 5 0 
17 9 8 | 4 6 3 7 2 1 5 0 
18 4 14 | 7 6 3 4 0 1 5 2 
16 6 10 | 7 6 3 4 2 1 5 0 
17 5 12 | 7 6 3 4 1 0 5 2 
16 6 10 | 7 6 3 4 1 5 0 2 
15 7 8 | 7 6 3 4 1 5 2 0 
18 4 14 | 7 6 3 0 4 1 5 2 
18 4 14 | 7 6 3 2 0 1 5 4 
17 5 12 | 7 6 3 2 1 0 5 4 
16 6 10 | 7 6 3 2 1 5 0 4 
17 7 10 | 7 6 3 2 1 5 4 0 
18 4 14 | 7 1 6 3 4 0 5 2 
18 4 14 | 7 6 5 0 4 1 2 3 
18 4 14 | 7 1 6 3 4 0 5 2 
18 6 12 | 4 0 3 7 1 6 5 2 
