0 0 | 6 2 3 7 5 1 4 0 
4 1 | 6 2 3 7 5 1 0 4 
3 2 | 6 2 0 7 5 1 3 4 
2 3 | 6 0 2 7 5 1 3 4 
1 4 | 6 1 2 7 5 0 3 4 
3 5 | 6 1 2 7 5 3 0 4 
4 6 | 6 1 2 7 5 3 4 0 
7 7 | 6 1 2 0 5 3 4 7 
5 10 | 6 1 2 5 0 3 4 7 
3 11 | 6 1 2 5 3 0 4 7 
1 12 | 6 0 2 5 3 1 4 7 
2 13 | 6 2 0 5 3 1 4 7 
5 14 | 6 2 5 0 3 1 4 7 
7 15 | 6 2 5 7 3 1 4 0 
4 16 | 6 2 5 7 3 1 0 4 
5 17 | 6 2 0 7 3 1 5 4 
2 18 | 6 0 2 7 3 1 5 4 
6 19 | 0 6 2 7 3 1 5 4 
4 22 | 4 6 2 7 3 1 5 0 
5 23 | 4 6 2 7 3 1 0 5 
1 24 | 4 6 2 7 3 0 1 5 
6 25 | 4 0 2 7 3 6 1 5 
2 26 | 4 2 0 7 3 6 1 5 
7 27 | 4 2 7 0 3 6 1 5 
27 0.6030852794647217
