0 0 | 5 2 7 1 4 3 6 0 
5 3 | 0 2 7 1 4 3 6 5 
4 4 | 4 2 7 1 0 3 6 5 
3 5 | 4 2 7 1 3 0 6 5 
2 6 | 4 0 7 1 3 2 6 5 
7 7 | 4 7 0 1 3 2 6 5 
1 8 | 4 7 1 0 3 2 6 5 
5 9 | 4 7 1 5 3 2 6 0 
4 12 | 0 7 1 5 3 2 6 4 
7 13 | 7 0 1 5 3 2 6 4 
2 14 | 7 2 1 5 3 0 6 4 
6 15 | 7 2 1 5 3 6 0 4 
4 16 | 7 2 1 5 3 6 4 0 
5 17 | 7 2 1 0 3 6 4 5 
1 18 | 7 2 0 1 3 6 4 5 
4 19 | 7 2 4 1 3 6 0 5 
6 20 | 7 2 4 1 3 0 6 5 
2 21 | 7 0 4 1 3 2 6 5 
4 22 | 7 4 0 1 3 2 6 5 
1 23 | 7 4 1 0 3 2 6 5 
5 24 | 7 4 1 5 3 2 6 0 
24 1.3139188289642334
