0 0 | 1 3 5 7 2 4 6 0 
7 1 | 1 3 5 0 2 4 6 7 
1 2 | 0 3 5 1 2 4 6 7 
7 5 | 7 3 5 1 2 4 6 0 
1 6 | 7 3 5 0 2 4 6 1 
7 7 | 0 3 5 7 2 4 6 1 
3 8 | 3 0 5 7 2 4 6 1 
5 9 | 3 5 0 7 2 4 6 1 
7 11 | 3 5 7 0 2 4 6 1 
2 14 | 3 5 7 2 0 4 6 1 
3 15 | 0 5 7 2 3 4 6 1 
2 16 | 2 5 7 0 3 4 6 1 
7 17 | 2 5 0 7 3 4 6 1 
6 18 | 2 5 6 7 3 4 0 1 
4 19 | 2 5 6 7 3 0 4 1 
3 21 | 2 5 6 7 0 3 4 1 
1 22 | 2 5 6 7 1 3 4 0 
4 23 | 2 5 6 7 1 3 0 4 
6 24 | 2 5 0 7 1 3 6 4 
7 25 | 2 5 7 0 1 3 6 4 
4 26 | 2 5 7 4 1 3 6 0 
1 27 | 2 5 7 4 0 3 6 1 
27 1.2132256031036377
