0 0 | 2 6 4 0 3 7 5 1 
3 3 | 2 6 4 3 0 7 5 1 
7 4 | 2 6 4 3 7 0 5 1 
6 5 | 2 0 4 3 7 6 5 1 
4 6 | 2 4 0 3 7 6 5 1 
5 7 | 2 4 5 3 7 6 0 1 
1 8 | 2 4 5 3 7 6 1 0 
3 9 | 2 4 5 0 7 6 1 3 
2 11 | 0 4 5 2 7 6 1 3 
4 12 | 4 0 5 2 7 6 1 3 
5 13 | 4 5 0 2 7 6 1 3 
2 14 | 4 5 2 0 7 6 1 3 
3 15 | 4 5 2 3 7 6 1 0 
4 18 | 0 5 2 3 7 6 1 4 
5 19 | 5 0 2 3 7 6 1 4 
6 20 | 5 6 2 3 7 0 1 4 
1 21 | 5 6 2 3 7 1 0 4 
4 22 | 5 6 2 3 7 1 4 0 
3 23 | 5 6 2 0 7 1 4 3 
2 24 | 5 6 0 2 7 1 4 3 
4 25 | 5 6 4 2 7 1 0 3 
1 26 | 5 6 4 2 7 0 1 3 
6 27 | 5 0 4 2 7 6 1 3 
4 28 | 5 4 0 2 7 6 1 3 
2 29 | 5 4 2 0 7 6 1 3 
3 30 | 5 4 2 3 7 6 1 0 
30 0.07180666923522949
