0 0 | 4 3 2 6 7 0 1 5 
1 1 | 4 3 2 6 7 1 0 5 
5 2 | 4 3 2 6 7 1 5 0 
6 3 | 4 3 2 0 7 1 5 6 
2 4 | 4 3 0 2 7 1 5 6 
3 5 | 4 0 3 2 7 1 5 6 
1 6 | 4 1 3 2 7 0 5 6 
5 7 | 4 1 3 2 7 5 0 6 
3 8 | 4 1 0 2 7 5 3 6 
1 9 | 4 0 1 2 7 5 3 6 
4 10 | 0 4 1 2 7 5 3 6 
2 12 | 2 4 1 0 7 5 3 6 
1 13 | 2 4 0 1 7 5 3 6 
3 14 | 2 4 3 1 7 5 0 6 
5 15 | 2 4 3 1 7 0 5 6 
4 16 | 2 0 3 1 7 4 5 6 
3 17 | 2 3 0 1 7 4 5 6 
5 18 | 2 3 5 1 7 4 0 6 
6 19 | 2 3 5 1 7 4 6 0 
1 20 | 2 3 5 0 7 4 6 1 
5 21 | 2 3 0 5 7 4 6 1 
3 22 | 2 0 3 5 7 4 6 1 
2 23 | 0 2 3 5 7 4 6 1 
5 25 | 5 2 3 0 7 4 6 1 
1 26 | 5 2 3 1 7 4 6 0 
26 0.34417724609375
