0 0 | 1 2 0 6 5 4 3 7 
2 1 | 1 0 2 6 5 4 3 7 
4 2 | 1 4 2 6 5 0 3 7 
3 3 | 1 4 2 6 5 3 0 7 
7 4 | 1 4 2 6 5 3 7 0 
6 5 | 1 4 2 0 5 3 7 6 
2 6 | 1 4 0 2 5 3 7 6 
4 7 | 1 0 4 2 5 3 7 6 
1 8 | 0 1 4 2 5 3 7 6 
6 11 | 6 1 4 2 5 3 7 0 
7 12 | 6 1 4 2 5 3 0 7 
4 13 | 6 1 0 2 5 3 4 7 
1 14 | 6 0 1 2 5 3 4 7 
3 15 | 6 3 1 2 5 0 4 7 
4 16 | 6 3 1 2 5 4 0 7 
7 17 | 6 3 1 2 5 4 7 0 
2 18 | 6 3 1 0 5 4 7 2 
1 19 | 6 3 0 1 5 4 7 2 
7 20 | 6 3 7 1 5 4 0 2 
4 21 | 6 3 7 1 5 0 4 2 
3 22 | 6 0 7 1 5 3 4 2 
7 23 | 6 7 0 1 5 3 4 2 
1 24 | 6 7 1 0 5 3 4 2 
2 25 | 6 7 1 2 5 3 4 0 
25 0.41776061058044434
