0 0 | 6 3 7 2 5 0 1 4 
1 1 | 6 3 7 2 5 1 0 4 
4 2 | 6 3 7 2 5 1 4 0 
2 3 | 6 3 7 0 5 1 4 2 
6 5 | 0 3 7 6 5 1 4 2 
5 6 | 5 3 7 6 0 1 4 2 
1 7 | 5 3 7 6 1 0 4 2 
3 8 | 5 0 7 6 1 3 4 2 
5 9 | 0 5 7 6 1 3 4 2 
1 10 | 1 5 7 6 0 3 4 2 
3 11 | 1 5 7 6 3 0 4 2 
4 12 | 1 5 7 6 3 4 0 2 
7 13 | 1 5 0 6 3 4 7 2 
6 14 | 1 5 6 0 3 4 7 2 
2 15 | 1 5 6 2 3 4 7 0 
7 16 | 1 5 6 2 3 4 0 7 
6 17 | 1 5 0 2 3 4 6 7 
5 18 | 1 0 5 2 3 4 6 7 
1 19 | 0 1 5 2 3 4 6 7 
3 20 | 3 1 5 2 0 4 6 7 
7 22 | 3 1 5 2 7 4 6 0 
22 0.7915518283843994
