16 0 16 | 7 5 1 6 0 2 4 3 
12 0 12 | 7 5 1 6 3 2 4 0 
12 0 12 | 7 5 1 0 3 2 4 6 
12 0 12 | 7 5 1 0 3 2 4 6 
12 0 12 | 7 5 1 6 3 2 4 0 
12 0 12 | 0 5 1 7 3 2 4 6 
10 0 10 | 3 5 1 7 0 2 4 6 
8 0 8 | 3 5 1 7 2 0 4 6 
6 0 6 | 3 5 1 7 2 4 0 6 
4 0 4 | 3 5 1 7 2 4 6 0 
6 0 6 | 3 5 1 0 2 4 6 7 
4 0 4 | 3 5 1 7 2 4 6 0 
4 0 4 | 3 5 1 7 2 4 6 0 
6 0 6 | 3 5 1 7 2 4 0 6 
6 0 6 | 3 5 1 0 2 4 6 7 
8 0 8 | 3 5 1 7 6 2 4 0 
8 0 8 | 3 5 1 7 2 0 4 6 
8 0 8 | 3 5 0 7 2 4 1 6 
6 0 6 | 3 5 1 7 2 4 0 6 
6 0 6 | 3 5 1 7 2 4 0 6 
8 0 8 | 3 5 0 7 2 4 1 6 
8 0 8 | 3 0 5 7 2 4 1 6 
8 0 8 | 3 5 7 0 2 4 1 6 
8 0 8 | 3 5 0 1 2 4 6 7 
6 0 6 | 3 5 1 0 2 4 6 7 
8 0 8 | 3 4 5 7 2 0 1 6 
6 0 6 | 3 4 5 7 2 1 0 6 
4 0 4 | 3 4 5 7 2 1 6 0 
6 0 6 | 3 4 5 0 2 1 6 7 
4 0 4 | 3 4 5 7 2 1 6 0 
4 0 4 | 3 4 5 7 2 1 6 0 
6 0 6 | 3 4 5 7 2 1 0 6 
6 0 6 | 3 4 5 0 2 1 6 7 
8 0 8 | 0 3 5 7 2 4 1 6 
6 0 6 | 6 3 5 7 2 4 1 0 
8 0 8 | 3 5 7 6 2 4 1 0 
8 0 8 | 3 5 0 7 2 4 1 6 
8 0 8 | 3 5 0 7 2 4 1 6 
8 0 8 | 2 3 5 7 0 4 1 6 
6 0 6 | 2 3 5 7 6 4 1 0 
8 0 8 | 3 5 7 0 2 4 1 6 
8 0 8 | 3 0 5 7 2 4 1 6 
8 0 8 | 3 5 6 1 2 4 0 7 
8 0 8 | 3 0 5 1 2 4 6 7 
8 0 8 | 3 0 5 7 2 4 1 6 
8 0 8 | 3 4 5 7 2 0 1 6 
8 0 8 | 3 5 7 6 2 4 1 0 
8 0 8 | 3 5 7 0 2 4 1 6 
8 0 8 | 0 3 5 7 2 4 1 6 
8 0 8 | 2 3 5 7 0 4 1 6 
8 0 8 | 7 3 5 0 2 4 1 6 
8 0 8 | 3 4 0 7 2 1 5 6 
6 0 6 | 3 4 5 7 2 1 0 6 
6 0 6 | 3 4 5 7 2 1 0 6 
8 0 8 | 3 4 5 7 2 0 1 6 
8 0 8 | 3 0 5 7 2 4 1 6 
8 0 8 | 0 3 5 1 2 4 6 7 
2 0 2 | 1 3 5 0 2 4 6 7 
0 0 0 | 1 3 5 7 2 4 6 0 
