0 0 | 5 3 2 7 6 1 4 0 
4 1 | 5 3 2 7 6 1 0 4 
2 2 | 5 3 0 7 6 1 2 4 
3 3 | 5 0 3 7 6 1 2 4 
5 4 | 0 5 3 7 6 1 2 4 
4 7 | 4 5 3 7 6 1 2 0 
6 9 | 4 5 3 7 0 1 2 6 
1 10 | 4 5 3 7 1 0 2 6 
2 11 | 4 5 3 7 1 2 0 6 
3 12 | 4 5 0 7 1 2 3 6 
7 13 | 4 5 7 0 1 2 3 6 
6 14 | 4 5 7 6 1 2 3 0 
3 15 | 4 5 7 6 1 2 0 3 
2 16 | 4 5 7 6 1 0 2 3 
5 17 | 4 0 7 6 1 5 2 3 
7 18 | 4 7 0 6 1 5 2 3 
6 19 | 4 7 6 0 1 5 2 3 
3 20 | 4 7 6 3 1 5 2 0 
2 21 | 4 7 6 3 1 5 0 2 
6 22 | 4 7 0 3 1 5 6 2 
7 23 | 4 0 7 3 1 5 6 2 
5 24 | 4 5 7 3 1 0 6 2 
6 25 | 4 5 7 3 1 6 0 2 
2 26 | 4 5 7 3 1 6 2 0 
26 0.5506851673126221
