5 0 5 | 7 3 6 5 1 4 2 0 
6 1 5 | 7 3 6 0 1 4 2 5 
6 1 5 | 7 3 6 5 1 4 0 2 
6 2 4 | 7 3 0 5 1 4 6 2 
6 3 3 | 7 3 5 0 1 4 6 2 
7 2 5 | 7 3 0 6 1 4 2 5 
7 2 5 | 7 3 6 5 1 4 2 0 
7 2 5 | 7 3 6 5 1 4 2 0 
7 2 5 | 7 3 6 0 1 4 2 5 
7 2 5 | 7 3 6 5 0 4 2 1 
7 3 4 | 7 3 0 5 1 4 6 2 
7 3 4 | 0 3 6 7 1 4 2 5 
7 4 3 | 7 3 5 2 1 4 6 0 
7 4 3 | 1 3 6 7 0 4 2 5 
7 5 2 | 0 3 5 7 1 4 6 2 
7 6 1 | 1 3 5 7 0 4 6 2 
8 2 6 | 7 3 6 5 1 0 4 2 
8 3 5 | 7 0 3 5 1 4 6 2 
8 3 5 | 0 3 6 5 1 4 2 7 
8 3 5 | 7 3 6 5 1 4 0 2 
8 3 5 | 7 3 6 5 1 4 2 0 
8 3 5 | 7 3 6 5 1 4 0 2 
8 3 5 | 7 3 2 6 1 4 0 5 
8 3 5 | 7 3 6 0 1 4 2 5 
8 3 5 | 0 3 6 5 7 4 2 1 
8 4 4 | 7 3 0 5 1 4 6 2 
8 4 4 | 1 3 6 5 0 4 2 7 
8 4 4 | 7 3 0 5 1 4 6 2 
8 5 3 | 7 3 5 2 1 4 6 0 
8 5 3 | 7 3 5 0 1 4 6 2 
8 5 3 | 1 3 6 7 0 4 2 5 
8 7 1 | 1 3 5 7 0 4 6 2 
8 8 0 | 1 3 5 7 2 4 6 0 
