0 0 | 7 6 0 3 4 1 5 2 
3 1 | 7 6 3 0 4 1 5 2 
4 4 | 7 6 3 4 0 1 5 2 
1 5 | 7 6 3 4 1 0 5 2 
6 6 | 7 0 3 4 1 6 5 2 
7 7 | 0 7 3 4 1 6 5 2 
1 8 | 1 7 3 4 0 6 5 2 
2 10 | 1 7 3 4 2 6 5 0 
5 11 | 1 7 3 4 2 6 0 5 
6 12 | 1 7 3 4 2 0 6 5 
7 13 | 1 0 3 4 2 7 6 5 
3 14 | 1 3 0 4 2 7 6 5 
6 15 | 1 3 6 4 2 7 0 5 
7 16 | 1 3 6 4 2 0 7 5 
2 17 | 1 3 6 4 0 2 7 5 
5 19 | 1 3 6 4 5 2 7 0 
7 20 | 1 3 6 4 5 2 0 7 
6 21 | 1 3 0 4 5 2 6 7 
3 22 | 1 0 3 4 5 2 6 7 
2 23 | 1 2 3 4 5 0 6 7 
6 24 | 1 2 3 4 5 6 0 7 
7 25 | 1 2 3 4 5 6 7 0 
25 0.9357523918151855
