0 0 | 0 6 2 5 1 3 7 4 
6 1 | 6 0 2 5 1 3 7 4 
2 2 | 6 2 0 5 1 3 7 4 
5 4 | 6 2 5 0 1 3 7 4 
6 5 | 0 2 5 6 1 3 7 4 
2 6 | 2 0 5 6 1 3 7 4 
5 7 | 2 5 0 6 1 3 7 4 
0 10 | 2 5 0 6 1 3 7 4 
7 11 | 2 5 7 6 1 3 0 4 
3 13 | 2 5 7 6 1 0 3 4 
1 14 | 2 5 7 6 0 1 3 4 
2 15 | 0 5 7 6 2 1 3 4 
5 16 | 5 0 7 6 2 1 3 4 
1 17 | 5 1 7 6 2 0 3 4 
3 19 | 5 1 7 6 2 3 0 4 
4 20 | 5 1 7 6 2 3 4 0 
6 21 | 5 1 7 0 2 3 4 6 
5 22 | 0 1 7 5 2 3 4 6 
1 23 | 1 0 7 5 2 3 4 6 
0 26 | 1 0 7 5 2 3 4 6 
7 27 | 1 7 0 5 2 3 4 6 
4 28 | 1 7 4 5 2 3 0 6 
6 29 | 1 7 4 5 2 3 6 0 
2 30 | 1 7 4 5 0 3 6 2 
1 31 | 0 7 4 5 1 3 6 2 
31 0.9824457168579102
